employee_name,user_id,O,C,E,A,N,insider
Lila Dana Mcintyre,LDM0587,49,20,23,21,26,1
Armand Jasper Nicholson,AJN0607,45,42,16,47,23,1
Bevis Brady Sheppard,BBS0039,44,37,34,21,40,0
Emerald Imani Schmidt,EIS0041,41,44,17,48,30,1
Melodie Lee Glenn,MLG0475,45,16,18,19,25,1
Hadley Rhona Dillon,HRD0635,24,35,18,32,24,1
Ethan Perry Wiggins,EPW0434,32,36,38,22,33,1
Jena Audrey Malone,JAM0382,25,23,41,17,23,1
Noble Clinton Klein,NCK0295,31,30,38,36,34,1
Luke Jacob Talley,LJT0817,39,43,38,39,24,1
Chandler Ashton Madden,CAM0102,31,44,19,15,27,1
Suki Ori Grant,SOG0411,26,19,21,24,23,1
Kameko Signe Harrison,KSH0569,15,39,23,14,22,1
Bruno Donovan Ingram,BDI0533,37,36,15,41,19,1
Paula Madaline Jackson,PMJ0564,30,21,40,14,39,1
Hedda Grace Gordon,HGG0240,20,26,24,36,31,1
Mari Gretchen Shaw,MGS0974,17,39,39,40,27,1
Dominic Howard Mcconnell,DHM0937,43,22,21,15,24,1
Evelyn Nevada Curtis,ENC0234,21,23,32,19,23,1
Colin Evan Brown,CEB0210,42,24,44,23,34,1
Yvette Jeanette Vang,YJV0699,17,25,30,13,31,1
Brittany Mona Terry,BMT0528,33,25,39,25,30,1
Caleb Jonas Chang,CJC0494,40,39,39,42,42,1
Sean Omar Burgess,SOB0360,42,22,40,16,32,1
Glenna Caryn Sharpe,GCS0571,22,18,16,23,32,1
Beck John Peters,BJP0134,42,17,44,21,39,1
Kirby Bo Pollard,KBP0008,23,18,40,11,34,1
Fitzgerald Len Merrill,FLM0213,20,41,46,15,24,1
Rhonda Rhona Parsons,RRP0568,43,50,38,18,33,1
Maxwell Clark Faulkner,MCF0600,39,49,13,26,27,0
Shelly Audra Ayala,SAA0999,20,17,34,11,36,1
Teagan Hedy Romero,THR0873,37,44,21,40,38,1
Kimberley Roary Maldonado,KRM0541,40,20,38,36,23,1
Kenneth Steel Porter,KSP0966,42,36,19,24,35,1
Lionel Omar Fisher,LOF0311,41,15,36,10,32,1
Montana Basia Roberts,MBR0724,33,44,18,35,31,1
Felicia Sloane Cabrera,FSC0601,37,30,37,15,30,0
Medge Liberty Petersen,MLP0668,40,17,16,43,33,1
Charity Uta Daniels,CUD0795,12,40,30,44,24,1
Aurora Katell Rhodes,AKR0057,50,41,20,18,30,0
Guy Zeus Chandler,GZC0735,44,16,15,27,25,1
Hadassah Leah Harris,HLH0512,15,42,36,22,32,1
Norman Jackson Beck,NJB0243,23,35,37,24,34,1
Gregory Curran Sutton,GCS0518,41,36,23,38,21,1
Nicole Macey Craig,NMC0486,42,10,23,21,27,1
Keegan Marvin Benson,KMB0922,43,43,17,24,27,1
Cecilia Freya Morgan,CFM0767,46,23,22,35,29,1
Holmes Arden Day,HAD0246,44,39,32,45,38,1
Alexa Nadine Poole,ANP0555,13,40,42,23,28,1
Leslie Briar Fields,LBF0214,18,44,18,38,28,1
Dacey Jorden Bowen,DJB0159,20,37,27,38,37,1
Baxter William Price,BWP0202,20,36,15,25,28,1
Flavia Fiona Cannon,FFC0891,38,10,39,50,39,1
Amal Judah Rich,AJR0932,46,30,35,12,29,0
Blair Deborah Vaughn,BDV0168,45,31,19,21,31,0
Cassady Quincy Hampton,CQH0730,21,18,37,49,27,1
Jena Chanda Rollins,JCR0289,32,43,33,33,29,1
Addison Edward Snyder,AES0827,39,40,34,38,23,1
Sydnee Leilani Parsons,SLP0762,26,13,40,18,26,1
Cheyenne Lesley Dominguez,CLD0894,19,21,50,16,36,1
Leo Chaney Daugherty,LCD0622,30,26,13,14,26,1
Caleb Mason Ball,CMB0912,46,43,16,22,31,1
Zenia Kiona Stevenson,ZKS0899,47,20,42,43,30,1
James Cain Vargas,JCV0245,40,44,22,20,27,1
Ali Murphy Hurley,AMH0794,43,42,33,40,31,1
Francis Kane Buckner,FKB0163,39,35,25,39,22,1
Amena Karyn Christian,AKC0924,40,44,35,37,27,1
Ivory Leandra Rogers,ILR0304,20,22,18,46,30,1
Arthur John Floyd,AJF0370,37,33,11,15,36,1
Octavius Kelly Castaneda,OKC0107,32,40,16,47,35,1
Oren Clinton Sharpe,OCS0865,29,24,43,35,32,1
Urielle Jane Carter,UJC0737,16,12,12,38,25,1
Marshall Benjamin Wilcox,MBW0809,43,45,44,18,19,1
Martina Cassandra Fields,MCF0327,39,41,24,44,25,1
Sylvester Guy Sanders,SGS0268,47,45,30,19,22,1
Brian Nathaniel Greer,BNG0237,39,36,36,47,27,1
Olympia Shafira Harrison,OSH0655,16,21,42,39,28,1
Catherine Savannah Bullock,CSB0080,35,19,39,34,36,1
Ella Rachel Hess,ERH0449,44,15,35,17,25,1
Eagan Gannon Koch,EGK0893,21,30,11,47,27,1
Maggy Melissa Burt,MMB0488,21,18,16,24,27,1
Abel Adam Morton,AAM0658,43,35,37,36,22,0
Eliana Stephanie Albert,ESA0642,32,14,44,30,32,1
Chandler Raymond Kirk,CRK0916,32,46,26,19,32,1
Bruno Beau Hoover,BBH0810,40,25,10,21,32,1
Jessica Rachel Freeman,JRF0835,44,33,18,37,18,1
Sloane Jade Cochran,SJC0333,22,39,31,36,29,1
Halla Cathleen Simmons,HCS0003,35,28,14,15,30,1
Edan Marsden Briggs,EMB0531,31,41,31,36,36,1
Jane Ignacia Mcdonald,JIM0095,10,18,21,15,35,1
Kay Janna Snider,KJS0618,19,15,20,10,37,1
Eaton Burton Crane,EBC0390,40,40,40,22,33,1
Willa Giselle Stanton,WGS0516,11,20,39,20,29,1
Nissim Gil French,NGF0157,45,38,22,46,32,1
Katell Amethyst Thornton,KAT0489,22,41,36,23,26,1
Cora Clementine Higgins,CCH0685,47,24,42,34,29,1
Doris Mona Michael,DMM0623,36,27,21,39,30,1
Sylvia Ariana Head,SAH0599,13,22,44,18,22,1
Connor Phelan Guerra,CPG0322,17,13,19,24,36,1
Orson Barrett Houston,OBH0499,35,18,41,16,34,1
Sage Nichole Savage,SNS0129,26,10,43,35,30,1
Philip Keith Barron,PKB0429,34,42,43,40,22,1
Nicole Aurelia Hanson,NAH0503,33,17,23,35,38,1
Felicia Rhona Butler,FRB0023,45,14,12,14,14,1
Amir Hayden Gray,AHG0634,31,36,42,41,27,1
Chadwick Wayne Bond,CWB0065,50,33,14,20,23,1
Aurora Tatiana Payne,ATP0662,17,16,41,20,39,1
Dalton Perry Mejia,DPM0423,37,38,38,15,27,1
Walter Kaseem Foley,WKF0012,37,44,20,45,23,1
Jarrod Malik Burris,JMB0308,41,44,34,14,32,0
Amity Kendall Foley,AKF0709,42,31,29,22,32,1
Jermaine Mannix Hansen,JMH0543,44,25,37,13,34,1
Camille Julie Freeman,CJF0802,36,39,38,43,21,1
Ignatius Reese Morton,IRM0931,44,46,33,35,30,1
Fulton Quinn Avery,FQA0854,41,38,30,34,26,1
Cecilia Yuri Ashley,CYA0506,16,17,44,14,31,1
Gay Ria Cantu,GRC0145,30,43,24,46,27,1
Benjamin Lewis Sweeney,BLS0678,35,17,43,28,31,0
Harlan Jason Benjamin,HJB0742,41,40,16,21,30,0
Kimberley Kiona Sosa,KKS0119,15,28,39,33,27,1
Raymond Arsenio Blackwell,RAB0589,36,35,26,14,31,0
Demetrius Barry Bullock,DBB0384,40,41,28,37,27,1
Teagan Raven Kennedy,TRK0914,40,19,14,33,30,1
Blossom Scarlett Aguirre,BSA0431,50,41,19,40,29,1
Rachel Hermione Le,RHL0992,36,10,39,37,36,0
Caldwell Ian Maxwell,CIM0926,31,25,41,17,31,1
Cassidy Florence Gibbs,CFG0959,42,21,24,17,20,1
Vera Mollie Jenkins,VMJ0147,23,28,37,22,24,1
Sawyer Abel Turner,SAT0194,14,19,36,23,35,1
Harper Basil Obrien,HBO0413,41,35,18,15,18,0
Declan Zachery Caldwell,DZC0228,37,37,34,21,38,1
Theodore Eagan Bass,TEB0251,44,50,22,13,36,1
Maryam Nelle Ruiz,MNR0829,41,33,40,15,23,1
Daryl Ocean Patel,DOP0562,42,16,37,39,31,1
Uriel Axel Diaz,UAD0771,46,34,15,30,31,1
Ayanna Leandra Dunlap,ALD0544,16,18,18,13,32,1
Lysandra Chastity Brennan,LCB0664,16,19,36,24,32,1
Hyacinth Clare Lindsay,HCL0113,43,22,40,39,34,1
Tamara Shaeleigh Best,TSB0437,26,23,16,30,26,1
Elton Zeus Horton,EZH0736,44,41,37,19,31,1
Jonathan John Martinez,JJM0203,37,36,18,30,28,0
Gareth Thomas Dickson,GTD0219,40,40,19,30,33,0
Constance Audrey Hicks,CAH0936,40,22,39,50,24,0
Dante Raja Roberts,DRR0162,45,36,20,36,29,0
Rebecca Kelsie Daugherty,RKD0604,17,46,36,38,31,0
Dominic Calvin Hewitt,DCH0843,20,31,11,18,36,0
Tara Alma Potts,TAP0551,25,17,27,20,22,0
Piper Sasha Fuentes,PSF0133,42,40,11,36,33,0
Camilla Camille Leach,CCL0068,13,16,23,19,23,0
Bernard Tobias Landry,BTL0226,36,44,37,38,31,0
Deanna Imelda Blanchard,DIB0285,13,45,17,50,29,0
Leslie Cassandra Colon,LCC0819,32,14,11,15,27,0
Meghan Phoebe Macias,MPM0220,35,20,42,22,20,0
Morgan Deborah Hoover,MDH0580,41,37,18,40,31,0
Casey Edward Joyce,CEJ0109,21,46,17,17,32,0
Isaiah Upton Buchanan,IUB0565,44,39,35,22,30,0
Ezra Hilel Dyer,EHD0584,38,40,42,43,22,0
Eugenia Hannah Blanchard,EHB0824,46,39,22,44,31,0
Mariko Olga Snyder,MOS0047,49,39,24,34,23,0
Jonathan Gary Terry,JGT0221,45,30,16,40,18,0
Kasper Lance Huffman,KLH0596,30,10,35,12,29,0
Rae Melissa Wilson,RMW0542,17,21,20,13,41,0
Medge Serina Obrien,MSO0222,32,12,39,46,28,0
Cathleen Samantha Craig,CSC0217,40,15,30,38,28,0
Allegra Bree Coffey,ABC0174,15,41,34,13,32,0
Lavinia Justine Richmond,LJR0523,32,21,11,33,25,0
Eric Gray Duncan,EGD0132,37,38,33,15,22,0
Cyrus Connor Atkinson,CCA0046,36,43,25,15,28,0
Mark Yardley Dunlap,MYD0978,39,32,36,13,32,0
Vernon Samuel Sawyer,VSS0154,43,49,10,40,30,0
Ivor Kenneth Rollins,IKR0401,40,42,24,16,29,0
Finn Tucker Medina,FTM0406,31,15,38,16,34,0
Raphael Aristotle Ray,RAR0725,32,32,25,20,35,0
Philip Nathan Logan,PNL0301,50,43,30,43,31,0
Nehru Wyatt Tate,NWT0098,35,39,26,36,33,0
Joseph Raja Gaines,JRG0207,42,37,40,21,27,0
Jerry Tad Mccall,JTM0223,35,48,20,21,30,0
Eden Deborah Ball,EDB0714,21,23,35,26,29,0
Troy Nicolas Molina,TNM0961,37,50,39,17,32,0
Chastity Quyn Wilkerson,CQW0652,10,22,48,20,33,0
Xerxes Howard Wilcox,XHW0498,37,47,48,23,35,0
Brenden Samuel Shaffer,BSS0369,39,42,34,14,32,0
Athena Amelia Foreman,AAF0535,17,21,36,33,31,0
Holly Xerxes Lara,HXL0968,45,21,35,40,34,0
Kirby Ruby Lyons,KRL0501,18,27,23,28,26,0
Kareem Porter Collins,KPC0073,44,30,11,16,23,0
Riley Ginger Guy,RGG0064,36,19,20,42,34,0
Preston Plato Fischer,PPF0435,42,17,48,24,27,0
